0,238,67
1,258,37
2,160,39
3,138,26
4,128,38
5,128,64
6,116,78
7,142,69
8,162,69
9,144,49
10,188,70
11,194,48
12,155,80
13,122,69
14,165,50
15,231,107
16,119,80
17,160,80
18,161,67
19,172,61
20,131,63
21,178,48
22,144,63
23,121,49
24,223,50
25,174,52
26,153,64
27,176,55
28,164,48
29,130,52
30,163,42
31,144,51
32,208,70
33,156,71
34,223,82
35,180,64
36,259,75
37,220,64
38,246,70
39,211,30
40,208,29
41,263,43
42,2138,282
43,3519,451
44,2192,403
45,1959,314
46,1891,282
47,1744,208
48,880,80
49,336,335
50,224,343
51,179,167
52,156,112
53,141,73
54,112,71
55,103,38
56,129,51
57,106,35
58,78,16
59,103,20
60,73,47
61,87,16
62,123,23
63,78,27
64,61,48
65,73,32
66,83,44
67,53,9
68,81,23
69,64,19
70,66,26
71,75,17
72,76,18
73,53,5
74,83,39
75,77,29
76,65,0
77,59,6
78,70,2
79,65,10
80,65,38
81,80,11
82,71,9
83,46,1
84,67,0
85,117,21
86,95,10
87,61,4
88,64,0
89,80,4
90,70,3
91,110,0
92,74,16
93,1049,39
94,3744,731
95,3037,367
96,1829,242
97,1565,151
98,1118,132
99,474,117
100,237,358
101,222,182
102,139,119
103,141,113
104,101,64
105,87,49
106,138,46
107,77,30
108,63,86
109,62,102
110,77,34
111,66,57
112,74,27
113,71,45
114,81,38
115,83,55
116,70,36
117,67,71
118,75,48
119,64,31
120,65,59
121,79,43
122,66,64
123,80,28
124,51,16
125,71,34
126,66,39
127,80,48
128,72,30
129,62,32
130,59,47
131,64,29
132,83,30
133,56,38
134,47,32
135,62,52
136,56,18
137,51,23
138,62,16
139,55,0
140,57,0
141,57,0
142,349,17
143,2769,475
144,2966,249
145,1535,170
146,1765,227
147,993,109
148,486,90
149,218,259
150,199,231
151,150,157
152,108,113
153,106,98
154,89,41
155,85,73
156,82,55
157,65,41
158,71,43
159,64,18
160,64,32
161,67,27
162,85,20
163,79,37
164,112,30
165,75,17
166,86,77
167,74,40
168,67,16
169,95,80
170,98,26
171,89,31
172,101,32
173,64,41
174,74,48
175,65,25
176,79,31
177,54,16
178,69,48
179,94,37
180,70,60
181,56,54
182,66,32
183,80,11
184,73,48
185,62,20
186,81,17
187,65,23
188,54,17
189,74,37
190,72,16
191,65,21
192,62,6
193,1840,107
194,3019,400
195,2016,223
196,1516,143
197,1465,117
198,1408,176
199,1006,75
200,343,236
201,237,298
202,157,171
203,123,129
204,134,100
205,144,103
206,128,45
207,85,48
208,81,21
209,91,59
210,114,79
211,80,48
212,67,29
213,69,25
214,92,51
215,76,33
216,86,45
217,64,22
218,86,31
219,109,35
220,103,30
221,125,47
222,113,21
223,65,34
224,61,25
225,96,48
226,76,27
227,66,16
228,74,20
229,97,32
230,70,44
231,66,14
232,56,32
233,59,50
234,52,5
235,74,13
236,84,37
237,68,3
238,64,0
239,144,16
240,247,23
241,228,30
242,3108,403
243,2988,347
244,1580,216
245,1818,128
246,1343,130
247,1051,103
248,640,106
249,272,259
250,252,272
251,176,199
252,107,112
253,144,140
254,137,94
255,109,70
256,105,76
257,116,63
258,101,83
259,156,61
260,112,34
261,85,32
262,113,25
263,114,63
264,99,29
265,111,43
266,53,71
267,93,48
268,115,34
269,82,27
270,77,22
271,80,22
272,98,13
273,75,35
274,79,29
275,82,2
276,74,13
277,73,31
278,80,28
279,80,12
280,94,41
281,65,6
282,61,6
283,83,31
284,106,13
285,55,13
286,71,0
287,67,6
288,52,0
289,95,21
290,207,16
291,2385,317
292,2895,339
293,2294,262
294,1398,128
295,1218,160
296,797,87
297,377,178
298,266,209
299,232,203
300,208,144
301,162,83
302,168,98
303,150,96
304,139,112
305,131,70
306,112,95
307,137,66
308,94,38
309,78,48
310,64,48
311,117,48
312,89,43
313,82,48
314,103,39
315,99,58
316,91,37
317,81,33
318,87,34
319,98,18
320,97,31
321,99,21
322,80,2
323,98,47
324,98,33
325,83,16
326,90,15
327,98,14
328,83,11
329,69,17
330,115,33
331,93,21
332,61,0
333,68,15
334,61,13
335,70,0
336,64,7
337,72,1
338,64,0
339,71,0
340,64,16
341,80,9
342,1697,241
343,3750,316
344,2108,285
345,1520,187
346,1153,165
347,702,112
348,471,66
349,541,83
350,237,173
351,163,155
352,207,176
353,158,141
354,133,179
355,116,163
356,108,166
357,123,217
358,112,210
359,90,240
360,83,177
361,112,98
362,88,80
363,79,54
364,65,58
365,74,103
366,98,91
367,91,59
368,68,71
369,69,50
370,99,48
371,65,19
372,87,49
373,86,68
374,64,51
375,77,48
376,73,34
377,109,41
378,76,54
379,78,37
380,83,34
381,63,31
382,86,72
383,73,25
384,90,13
385,52,3
386,64,48
387,81,45
388,357,16
389,3129,304
390,3750,346
391,2327,194
392,1405,135
393,1086,127
394,575,208
395,204,352
396,186,386
397,134,289
398,198,205
399,135,201
400,145,172
401,145,135
402,143,143
403,122,118
404,128,137
405,112,112
406,80,50
407,121,129
408,109,98
409,96,101
410,79,58
411,94,87
412,97,54
413,92,45
414,97,59
415,78,38
416,81,54
417,91,51
418,82,32
419,90,53
420,65,106
421,118,96
422,101,80
423,87,35
424,80,58
425,114,49
426,89,19
427,66,45
428,65,35
429,82,39
430,64,26
431,82,9
432,54,12
433,100,0
434,64,1
435,129,13
436,2401,245
437,2983,323
438,1738,288
439,1175,201
440,1200,147
441,881,114
442,809,103
443,257,177
444,202,230
445,190,272
446,170,190
447,159,187
448,122,128
449,143,51
450,159,71
451,112,93
452,76,12
453,107,35
454,113,42
455,126,18
456,54,22
457,62,3
458,64,16
459,79,19
460,113,38
461,71,1
462,71,11
463,91,67
464,113,80
465,80,39
466,95,35
467,74,28
468,70,35
469,88,64
470,90,16
471,66,2
472,80,17
473,92,12
474,80,35
475,78,66
476,77,4
477,58,11
478,64,0
479,64,5
480,70,17
481,64,4
482,95,20
483,80,2
484,98,4
485,64,0
486,50,11
487,64,2
488,77,50
489,64,0
490,64,11
